LocationID,LocationName,Country,Language,Type,Budget,Best Time to Visit,Travel Style,Suitable For,Keywords/Main Attractions,Latitude,Longitude,Description
1,Paris,France,French,city,Mid-range to Luxury,"Spring, Summer, Early Autumn","Romantic, Cultural, Art, food, City Break, Historical","Couples, Art Lovers, foods, History Buffs, Families","Iconic landmarks, art museums, romance, fashion",48.8566,2.3522,"See the famous Eiffel Tower sparkle at night and visit world-class museums like the Louvre. Enjoy delicious pastries in charming cafes and take a romantic stroll along the Seine River. Paris is a city of lights, art, and unforgettable moments."
2,Rome,Italy,Italian,city,Mid-range,"Spring, Autumn","Historical, Cultural, food, Religious, City Break","Couples, History Buffs, foods, Culture Seekers, Families","Ancient history, Renaissance art, food, architecture",41.9028,12.4964,"Explore ancient wonders like the Colosseum where gladiators once fought and toss a coin in the Trevi Fountain. Taste amazing pasta and pizza, and visit the Vatican City, home to St. Peter's Basilica. Rome brings history to life with every step you take."
3,London,UK,English,city,Luxury,"Spring, Summer, Autumn","Cultural, Historical, Urban, Theatre, Shopping","Families, Culture Seekers, History Buffs, Shoppers, Theater Lovers","History, museums, theatre, royal culture, parks",51.5074,-0.1278,"Ride a double-decker bus, see the Queen's guards at Buckingham Palace, and explore famous landmarks like the Tower of London. Enjoy diverse neighborhoods, world-class theater shows, and lively pubs. London offers endless excitement and history for everyone."
4,Barcelona,Spain,"Spanish, Catalan",city,Mid-range,"Spring, Late Summer, Early Autumn","Beaches, Urban, Cultural, Nightlife, Architecture","Young Adults, Groups, Culture Seekers, Beach Lovers, Architecture Fans, Families","Gaudi architecture, beaches, nightlife, food, culture",41.3851,2.1734,"Marvel at Gaudí's unique buildings like Sagrada Família and Park Güell, and relax on sunny beaches. Wander down the bustling Las Ramblas street and taste delicious tapas in local bars. Barcelona blends stunning art, lively culture, and coastal relaxation."
5,Amsterdam,Netherlands,Dutch,city,Mid-range,"Spring, Summer","Cultural, Urban, relax, Art, History, Cycling","Couples, Art Lovers, History Buffs, Cyclists, Relaxed Travelers, Nightlife Seekers, Families","Canals, art, liberal culture, history, cycling, flowers",52.3676,4.9041,"Cruise along picturesque canals lined with charming houses and cross beautiful bridges. Visit the Anne Frank House for a moving history lesson and see famous paintings at the Rijksmuseum. Amsterdam is a friendly city known for its bikes, tulips, and relaxed atmosphere."
6,Venice,Italy,Italian,city,Luxury,"Spring, Autumn","Romantic, Unique, Historical, Cultural","Couples, Romantic Getaways, Art Lovers, History Buffs, Culture Seekers","Canals, romance, architecture, unique cityscape",45.4408,12.3155,Glide through romantic canals on a gondola and get lost in the maze of narrow streets and bridges. Visit St. Mark's Square and see the stunning Basilica and Doge's Palace. Venice is a unique floating city perfect for exploring on foot or by boat.
7,Florence,Italy,Italian,city,Mid-range,"Spring, Autumn","Art, Historical, food, Romantic, Cultural","Couples, Art Lovers, History Buffs, foods, Renaissance Enthusiasts, Families","Renaissance art, Tuscan food, history, leather",43.7696,11.2558,"Discover masterpieces of Renaissance art, including Michelangelo's David and Botticelli's works at the Uffizi. Climb to the top of the Duomo for amazing city views and enjoy delicious Tuscan food and wine. Florence is a city filled with artistic treasures."
8,Berlin,Germany,German,city,Budget-friendly to Mid-range,"Spring, Summer, Autumn","Historical, Urban, Nightlife, Art, Alternative","Young Adults, History Buffs, Nightlife Seekers, Art & Culture Enthusiasts, Budget Travelers, Families","History, nightlife, art, museums, alternative culture",52.52,13.405,"Explore a city rich in history, from the Berlin Wall Memorial to the Brandenburg Gate. Experience its vibrant arts scene, lively nightlife, and diverse food markets. Berlin is a dynamic and creative capital with something new around every corner."
9,Prague,Czech Republic,Czech,city,Budget-friendly to Mid-range,"Spring, Early Summer, Autumn","Historical, Romantic, Beer, Architecture, Cultural","Couples, Budget Travelers, History Buffs, Romantic Getaways, Architecture Lovers, Families","Medieval charm, history, beer, architecture",50.0755,14.4378,"Walk across the iconic Charles Bridge, explore the magnificent Prague Castle, and admire the Astronomical Clock in the Old Town Square. Enjoy hearty Czech food and famous local beer in traditional pubs. Prague feels like stepping into a fairytale."
10,Vienna,Austria,German,city,Mid-range to Luxury,"Spring, Autumn, Winter (Christmas Markets)","Classical Music, Imperial, Cultural, Art, Coffee Culture","Couples, Culture Seekers, Classical Music Lovers, History Buffs, Imperial History Fans, Families","Classical music, imperial history, palaces, coffee culture",48.2082,16.3738,"Experience the elegance of Vienna with its grand palaces like Schönbrunn and Hofburg, and enjoy classical music concerts. Treat yourself to delicious cakes like Sachertorte in traditional coffee houses. Vienna is a city of imperial history, music, and charm."
11,Budapest,Hungary,Hungarian,city,Budget-friendly,"Spring, Autumn","Historical, Thermal Baths, Nightlife, Architecture, River Views","Young Adults, Budget Travelers, Nightlife Seekers, Relaxation Seekers, Thermal Bath Enthusiasts, Families","Thermal baths, history, ruin bars, architecture, river views",47.4979,19.0402,"Relax in famous thermal baths like Széchenyi and admire the stunning Parliament Building along the Danube River. Explore both sides of the city, Buda and Pest, connected by the Chain Bridge. Budapest offers a mix of history, relaxation, and lively nightlife."
12,Lisbon,Portugal,Portuguese,city,Budget-friendly to Mid-range,"Spring, Autumn","Hills, Fado Music, Historical, Beaches Nearby, food","Couples, Budget Travelers, Culture Seekers, foods, History Buffs, Scenic Views Seekers, Families","Hills, fado music, history, beaches nearby, colorful",38.7223,-9.1393,Ride the charming yellow Tram 28 through hilly streets and listen to soulful Fado music in Alfama district. Enjoy beautiful views from São Jorge Castle and taste delicious Pastéis de Belém custard tarts. Lisbon is a vibrant coastal capital.
13,Seville,Spain,Spanish,city,Mid-range,"Spring, Autumn","Flamenco, Moorish Architecture, Tapas, Historical, Sunny","Couples, Culture Seekers, foods (Tapas), History Buffs (Moorish), Flamenco Fans, Sunny Weather Lovers, Families","Flamenco, Moorish architecture, tapas, history, sunny",37.3891,-5.9845,"Experience the passion of flamenco dancing, explore the stunning Alcázar palace, and admire the massive Seville Cathedral. Wander through the charming Santa Cruz neighborhood with its narrow streets and orange trees. Seville is the heart of Andalusia."
14,Madrid,Spain,Spanish,city,Mid-range,"Spring, Autumn","Art Museums, Royal, Lively Culture, Tapas, Historical","Couples, Culture Seekers, Art Lovers (Prado), foods, Nightlife Seekers, City Explorers, Families","Art museums, royal palace, lively culture, tapas, history",40.4168,-3.7038,"Explore world-class art museums like the Prado, enjoy the lively atmosphere of Puerta del Sol, and relax in the beautiful Retiro Park. Taste delicious tapas and experience the energetic nightlife in Spain's vibrant capital. Madrid offers a fantastic mix of culture and fun."
15,Dublin,Ireland,"English, Irish (Gaeilge)",city,Mid-range to Luxury,"Spring, Summer","Pub Culture, Historical, literary atmosphere, Friendly, Green Spaces","Couples, Culture Seekers, Literature Lovers, Friendly Atmosphere Seekers, Pub Culture Fans, Families","Pub culture, history, literature, friendly atmosphere, green spaces",53.3498,-6.2603,"Visit the Guinness Storehouse and explore historic Trinity College, home to the Book of Kells. Enjoy live traditional music in Temple Bar's lively pubs and experience the friendly Irish welcome. Dublin is a city full of history, literature, and cheerful spirit."
16,Edinburgh,Scotland,"English, Scottish Gaelic",city,Mid-range to Luxury,"Spring, Summer, Autumn","Castles, Historical, Scottish Culture, Whiskey, Rugged Beauty","Couples, Culture Seekers, History Buffs, Whiskey Lovers, Scenic Beauty Enthusiasts, Festival Goers (August), Families","Castles, history, Scottish culture, whiskey, rugged beauty",55.9533,-3.1883,Explore the historic Edinburgh Castle perched on a rock and walk down the Royal Mile to Holyrood Palace. Discover the city's hidden closes and enjoy the atmosphere during festivals like the Fringe. Edinburgh combines stunning scenery and rich history.
17,Stockholm,Sweden,Swedish,city,Luxury,"Summer, Late Spring","Islands, Design, Historical, Royal Palaces, Modern Vibe, Nature","Couples, Design Lovers, History Buffs, Nature Enthusiasts (Archipelago), Modern Culture Seekers, Families","Islands, design, history, royal palaces, modern vibe",59.3293,18.0686,"Discover a city spread across 14 islands, connected by bridges, often called the ""Venice of the North."" Explore the charming Old Town (Gamla Stan) and visit the Vasa Museum with its preserved 17th-century ship. Stockholm blends history, nature, and modernity."
