ParentLocationID,POIName,POIType,POILat,POILng,POIDescription,POIDescriptionOld
1,Eiffel Tower,Sight,48.8584,2.2945,Iconic iron lattice tower offering panoramic views of Paris; a global symbol of France.,Iconic iron lattice tower offering panoramic views of Paris; a global symbol of France.
1,Louvre Museum,Museum,48.8606,2.3376,"World's largest art museum housed in a historic palace, home to masterpieces like the Mona Lisa and Venus de Milo.","World's largest art museum housed in a historic palace, home to masterpieces like the Mona Lisa and Venus de Milo."
1,Notre Dame Cathedral,Sight,48.853,2.3499,"Famous medieval Gothic cathedral, currently under restoration after the 2019 fire.","Famous medieval Gothic cathedral, currently under restoration after the 2019 fire."
1,Arc de Triomphe,Sight,48.8738,2.295,"Monumental arch honoring French soldiers, located on the Champs-Élysées with rooftop views.","Monumental arch honoring French soldiers, located on the Champs-Élysées with rooftop views."
1,Sacré-Cœur Basilica,Sight,48.8867,2.3431,White-domed basilica atop Montmartre hill offering stunning city views and an artistic neighborhood vibe.,White-domed basilica atop Montmartre hill offering stunning city views and an artistic neighborhood vibe.
1,Musée d'Orsay,Museum,48.86,2.3266,"Museum in a former railway station showcasing Impressionist and Post-Impressionist art by Monet, Degas, Van Gogh.","Museum in a former railway station showcasing Impressionist and Post-Impressionist art by Monet, Degas, Van Gogh."
1,Luxembourg Gardens,Park,48.8462,2.3372,"Beautiful public park featuring fountains, sculptures, the Luxembourg Palace, and relaxation spots.","Beautiful public park featuring fountains, sculptures, the Luxembourg Palace, and relaxation spots."
1,Seine River Cruise,Activity,48.858,2.295,"Boat tour offering unique perspectives of Paris landmarks along the riverbanks, especially magical at night.","Boat tour offering unique perspectives of Paris landmarks along the riverbanks, especially magical at night."
1,Palace of Versailles,Sight,48.8049,2.1204,"Lavish former royal residence (UNESCO site) outside Paris, famous for the Hall of Mirrors and vast gardens.","Lavish former royal residence (UNESCO site) outside Paris, famous for the Hall of Mirrors and vast gardens."
1,Sainte-Chapelle,Sight,48.8554,2.345,Gothic chapel famed for its breathtaking floor-to-ceiling stained-glass windows within the Palais de la Cité.,Gothic chapel famed for its breathtaking floor-to-ceiling stained-glass windows within the Palais de la Cité.
2,Colosseum,Sight,41.8902,12.4922,Iconic ancient Roman amphitheater known for gladiator contests; a symbol of Imperial Rome.,Iconic ancient Roman amphitheater known for gladiator contests; a symbol of Imperial Rome.
2,Roman Forum,Sight,41.8925,12.4853,Sprawling ruins of ancient Rome's central marketplace and government center with temples and arches.,Sprawling ruins of ancient Rome's central marketplace and government center with temples and arches.
2,Pantheon,Sight,41.8986,12.4769,"Remarkably preserved ancient Roman temple, now a church, famous for its massive unsupported dome.","Remarkably preserved ancient Roman temple, now a church, famous for its massive unsupported dome."
2,Trevi Fountain,Sight,41.9009,12.4833,Famous Baroque fountain where visitors toss coins to ensure their return to Rome; a stunning sculpture.,Famous Baroque fountain where visitors toss coins to ensure their return to Rome; a stunning sculpture.
2,St. Peter's Basilica,Sight,41.9022,12.4539,"Magnificent Renaissance church in Vatican City, a major Catholic pilgrimage site featuring Michelangelo's dome.","Magnificent Renaissance church in Vatican City, a major Catholic pilgrimage site featuring Michelangelo's dome."
2,Vatican Museums,Museum,41.9065,12.4536,"Vast museum complex housing incredible art collections, including the Sistine Chapel with Michelangelo's frescoes.","Vast museum complex housing incredible art collections, including the Sistine Chapel with Michelangelo's frescoes."
2,Spanish Steps,Sight,41.9059,12.4828,Famous monumental stairway connecting Piazza di Spagna with Piazza Trinità dei Monti; a popular gathering spot.,Famous monumental stairway connecting Piazza di Spagna with Piazza Trinità dei Monti; a popular gathering spot.
2,Borghese Gallery and Museum,Museum,41.9141,12.4926,Art gallery in Villa Borghese featuring masterpieces by Bernini and Caravaggio; timed entry required.,Art gallery in Villa Borghese featuring masterpieces by Bernini and Caravaggio; timed entry required.
2,Villa Borghese Gardens,Park,41.914,12.4846,"Large landscape garden in Rome with museums, attractions, and green spaces perfect for walks or bike rentals.","Large landscape garden in Rome with museums, attractions, and green spaces perfect for walks or bike rentals."
2,Trastevere Neighborhood,Activity,41.888,12.468,"Charming area across the Tiber known for cobblestone streets, artisan shops, traditional trattorias, and lively nightlife.","Charming area across the Tiber known for cobblestone streets, artisan shops, traditional trattorias, and lively nightlife."
3,Buckingham Palace,Sight,51.5014,-0.1419,Official residence of the British monarch; watch the Changing of the Guard ceremony.,Official residence of the British monarch; watch the Changing of the Guard ceremony.
3,Tower of London,Sight,51.5081,-0.076,Historic castle on the Thames housing the Crown Jewels and known for its Beefeaters and rich royal history.,Historic castle on the Thames housing the Crown Jewels and known for its Beefeaters and rich royal history.
3,British Museum,Museum,51.5194,-0.127,"Vast museum showcasing world art, culture, and history, featuring the Rosetta Stone and Egyptian mummies.","Vast museum showcasing world art, culture, and history, featuring the Rosetta Stone and Egyptian mummies."
